Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22, C23, C24, C26, C4, C5",1206,8,10u,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C3, C6, C7, C8, C9",1206,17,10n,
C25,TANTAL_D,1,100uF,
"CON1, CON2",OQ0412510000G_THICK,2,OQ0412510000G+15EDGK-3.5/4P,
CON3,2.1MM_2PINS,1,C9743-CCRNB001R,
"D1, D2, D3, D4, D5",SOT23_LARGE,5,BAV199-LARGE,
DISP1,DISPLEJ_HARWIN_CONNECTORS,1,DISPLEJHARWIN,
"IC1, IC3",SO8,2,ADA4522-2,
IC2,SO16,1,744053D,
"IC4, IC5",SO16,2,744051D,
IC6,SO8,1,MCP3553-E/SN,
IC7,Arduino_Nano,1,ARDUINO_NANO-SMD,
IC8,SOT23-6LARGE,1,MAX6071AAUT25+T,
"R1, R17, R18, R2, R3, R35, R36, R4",1206,8,1k,
"R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R37, R38, R39, R40, R41, R42, R5, R6, R7, R8",1206,32,10k,
R9,1206,1,P0K1.1206.2P.B,
RREF0,1206,1,100,
"T1, T2",SOT23_LARGE,2,2N7002,
"TC1, TC2",AM-K-PCB,2,IM-K-PCB,
