Designator,Mid X,Mid Y,Rotation,Layer
C1,170.8091,-81.1843,90.0,top
C10,218.821,-106.8197,90.0,top
C11,224.3455,-66.802,270.0,top
C12,224.282,-85.725,270.0,top
C13,205.2955,-77.1017,180.0,top
C14,218.8845,-99.695,0.0,top
C15,219.0115,-113.7285,0.0,top
C16,213.741,-72.2503,270.0,top
C17,213.741,-61.0108,90.0,top
C18,213.8045,-91.186,270.0,top
C19,213.8045,-80.01,90.0,top
C2,182.9435,-75.4058,90.0,top
C20,201.168,-72.9107,270.0,top
C21,209.423,-72.9742,270.0,top
C22,188.341,-118.0719,90.0,top
C23,200.279,-126.3904,180.0,top
C24,180.102,-64.517,90.0,top
C25,205.867,-141.097,180.0,top
C26,175.5935,-67.9333,180.0,top
C3,185.503,-67.20795,90.0,top
C4,205.5495,-106.4895,270.0,top
C5,205.613,-126.8095,270.0,top
C6,207.01,-113.4745,180.0,top
C7,207.0735,-99.695,180.0,top
C8,207.01,-135.3185,180.0,top
C9,207.0735,-119.253,180.0,top
CON1,221.1143,-66.675,90.0,bottom
CON2,221.1143,-85.725,90.0,bottom
CON3,217.9761,-145.0036,270.0,bottom
D1,212.0265,-98.1575,180.0,top
D2,207.595,-65.532,90.0,top
D3,216.535,-66.725,180.0,top
D4,216.528,-85.7145,180.0,top
D5,200.2417,-119.3419,90.0,top
DISP1,156.0195,-106.807,270.0,top
IC1,176.1685,-78.7713,270.0,top
IC2,191.3704,-67.90645,270.0,top
IC3,192.659,-119.1514,0.0,top
IC4,191.2688,-93.49695,270.0,top
IC5,191.1926,-80.54295,270.0,top
IC6,181.8581,-88.0539,90.0,top
IC7,169.9514,-116.9543,0.0,top
IC8,175.5,-64.4408,90.0,top
R1,162.4906,-80.4604,90.0,top
R11,218.948,-102.489,0.0,top
R12,219.0115,-110.998,0.0,top
R13,216.535,-72.1838,270.0,top
R14,216.535,-60.9062,90.0,top
R15,216.5985,-91.1225,270.0,top
R16,216.5985,-79.9465,90.0,top
R17,203.835,-72.9742,270.0,top
R18,206.756,-72.9742,270.0,top
R19,197.1294,-112.5855,180.0,top
R2,159.8236,-80.4604,90.0,top
R20,197.1294,-109.855,180.0,top
R21,197.1929,-107.1245,180.0,top
R22,197.1294,-104.3305,180.0,top
R23,194.1449,-126.3269,180.0,top
R24,194.1449,-129.0574,180.0,top
R25,194.1449,-131.7879,180.0,top
R26,194.1181,-134.5184,180.0,top
R27,191.7192,-104.3305,0.0,top
R28,188.7347,-134.5819,180.0,top
R29,191.7192,-107.1245,180.0,top
R3,165.2211,-80.4604,90.0,top
R30,188.7347,-131.8514,0.0,top
R31,191.7192,-109.855,0.0,top
R32,188.7347,-129.1209,180.0,top
R33,191.6557,-112.5855,180.0,top
R34,188.7347,-126.3269,0.0,top
R35,200.2917,-115.6589,0.0,top
R36,200.2917,-123.2789,180.0,top
R37,170.0598,-65.6649,0.0,top
R38,170.0471,-71.5069,0.0,top
R39,170.0598,-68.5224,0.0,top
R4,167.9516,-80.3969,90.0,top
R40,174.708,-72.942,90.0,top
R41,177.5655,-72.942,270.0,top
R42,180.296,-72.942,90.0,top
R5,207.01,-110.8075,180.0,top
R6,207.01,-102.362,180.0,top
R7,207.0735,-132.5245,180.0,top
R8,207.0735,-121.92,180.0,top
R9,216.0905,-106.8705,90.0,top
RREF0,205.2955,-68.4022,180.0,top
T1,166.7586,-84.7784,90.0,top
T2,168.2445,-75.7233,90.0,top
TC1,217.0961,-106.7436,180.0,bottom
TC2,217.0961,-127.6986,180.0,bottom
